state,county,level,eevp,votes_harris_k_total,votes_harris_k_advance,votes_harris_k_provisional,votes_harris_k_absentee_mail,votes_harris_k_absentee_in_person,votes_harris_k_election_day_in_person,votes_trump_d_total,votes_trump_d_advance,votes_trump_d_provisional,votes_trump_d_absentee_mail,votes_trump_d_absentee_in_person,votes_trump_d_election_day_in_person,total_votes_2024,pct_dem_2024,pct_rep_2024,total_votes_2020,pct_dem_2020,pct_rep_2020
California,Marin,county,63,76374,NA,NA,NA,NA,NA,16864,NA,NA,NA,NA,NA,95319,80.12463412331225,17.692170501159264,155801,82.341,15.797
California,Butte,county,73,38282,NA,NA,NA,NA,NA,39477,NA,NA,NA,NA,NA,80283,47.68381849208425,49.17230297821457,102042,49.417,47.755
California,Yolo,county,64,39461,NA,NA,NA,NA,NA,18996,NA,NA,NA,NA,NA,60296,65.44546901950378,31.504577418070852,97264,69.5,28.06
California,Merced,county,51.68,20694,NA,NA,NA,NA,NA,23536,NA,NA,NA,NA,NA,45139,45.84505638139968,52.14116396021179,90541,54.109,43.513
California,Madera,county,78,17268,NA,NA,NA,NA,NA,26186,NA,NA,NA,NA,NA,44401,38.891015968108825,58.97614918582915,53722,43.126,54.685
California,Kings,county,81,12820,NA,NA,NA,NA,NA,21168,NA,NA,NA,NA,NA,34702,36.943115670566534,60.99936603077632,43858,42.635,54.886
California,Humboldt,county,50,20010,NA,NA,NA,NA,NA,12437,NA,NA,NA,NA,NA,33539,59.661886162378124,37.0822028086705,68828,65.043,31.63
California,Shasta,county,35,10079,NA,NA,NA,NA,NA,22148,NA,NA,NA,NA,NA,32907,30.62874160512961,67.30482875983833,92900,32.293,65.435
California,Napa,county,43,18651,NA,NA,NA,NA,NA,9570,NA,NA,NA,NA,NA,28861,64.62354041786494,33.158934201864106,72122,69.073,28.668
California,Imperial,county,54,14886,NA,NA,NA,NA,NA,12914,NA,NA,NA,NA,NA,28520,52.19495091164095,45.2805049088359,56718,61.141,36.756
California,Tuolumne,county,84,10677,NA,NA,NA,NA,NA,16673,NA,NA,NA,NA,NA,28013,38.11444686395602,59.51879484525042,30401,39.4,58.186
California,Sutter,county,67,9153,NA,NA,NA,NA,NA,17348,NA,NA,NA,NA,NA,27092,33.78488114572568,64.03366307397017,42640,40.729,57.165
